w y z r phi
0.114983341799986 0 0 0 0
0.042666281539387 -0.886967663163937 0 0.886967663163937 3.141592653589793
0.042666281539387 0 -0.886967663163937 0.886967663163937 -1.570796326794897
0.042666281539387 0 0.886967663163937 0.886967663163937 1.570796326794897
0.042666281539387 0.886967663163937 0 0.886967663163937 0
0.087938325357146 -0.424633903743234 0 0.424633903743234 3.141592653589793
0.087938325357146 0 -0.424633903743234 0.424633903743234 -1.570796326794897
0.087938325357146 0 0.424633903743234 0.424633903743234 1.570796326794897
0.087938325357146 0.424633903743234 0 0.424633903743234 0
0.076206570461793 -0.694469023080834 0 0.694469023080834 3.141592653589793
0.076206570461793 0 -0.694469023080834 0.694469023080834 -1.570796326794897
0.076206570461793 0 0.694469023080834 0.694469023080834 1.570796326794897
0.076206570461793 0.694469023080834 0 0.694469023080834 0
0.019156522218856 -0.687853540826993 -0.687853540826993 0.972771806363888 -2.356194490192345
0.019156522218856 -0.687853540826993 0.687853540826993 0.972771806363888 2.356194490192345
0.019156522218856 0.687853540826993 -0.687853540826993 0.972771806363888 -0.785398163397448
0.019156522218856 0.687853540826993 0.687853540826993 0.972771806363888 0.785398163397448
0.062085722273139 -0.596647677814557 -0.596647677814557 0.843787237923759 -2.356194490192345
0.062085722273139 -0.596647677814557 0.596647677814557 0.843787237923759 2.356194490192345
0.062085722273139 0.596647677814557 -0.596647677814557 0.843787237923759 -0.785398163397448
0.062085722273139 0.596647677814557 0.596647677814557 0.843787237923759 0.785398163397448
0.095664962820418 -0.235622520915308 -0.235622520915308 0.333220564678967 -2.356194490192345
0.095664962820418 -0.235622520915308 0.235622520915308 0.333220564678967 2.356194490192345
0.095664962820418 0.235622520915308 -0.235622520915308 0.333220564678967 -0.785398163397448
0.095664962820418 0.235622520915308 0.235622520915308 0.333220564678967 0.785398163397448
0.085162533604289 -0.548940255237015 -0.312947548883440 0.631879396856577 -2.623453175107159
0.085162533604289 -0.548940255237015 0.312947548883440 0.631879396856577 2.623453175107159
0.085162533604289 -0.312947548883440 -0.548940255237015 0.631879396856577 -2.088935805277532
0.085162533604289 -0.312947548883440 0.548940255237015 0.631879396856577 2.088935805277532
0.085162533604289 0.312947548883440 -0.548940255237015 0.631879396856577 -1.052656848312262
0.085162533604289 0.312947548883440 0.548940255237015 0.631879396856577 1.052656848312262
0.085162533604289 0.548940255237015 -0.312947548883440 0.631879396856577 -0.518139478482635
0.085162533604289 0.548940255237015 0.312947548883440 0.631879396856577 0.518139478482635
0.020201237989565 -0.961212285046179 -0.173857450886836 0.976808819653347 -2.962654139766104
0.020201237989565 -0.961212285046179 0.173857450886836 0.976808819653347 2.962654139766104
0.020201237989565 -0.173857450886836 -0.961212285046179 0.976808819653347 -1.749734840618586
0.020201237989565 -0.173857450886836 0.961212285046179 0.976808819653347 1.749734840618586
0.020201237989565 0.173857450886836 -0.961212285046179 0.976808819653347 -1.391857812971208
0.020201237989565 0.173857450886836 0.961212285046179 0.976808819653347 1.391857812971208
0.020201237989565 0.961212285046179 -0.173857450886836 0.976808819653347 -0.178938513823689
0.020201237989565 0.961212285046179 0.173857450886836 0.976808819653347 0.178938513823689
0.056834571713157 -0.790354875311486 -0.305387322252147 0.847302924296247 -2.772871497753526
0.056834571713157 -0.790354875311486 0.305387322252147 0.847302924296247 2.772871497753526
0.056834571713157 -0.305387322252147 -0.790354875311486 0.847302924296247 -1.939517482631164
0.056834571713157 -0.305387322252147 0.790354875311486 0.847302924296247 1.939517482631164
0.056834571713157 0.305387322252147 -0.790354875311486 0.847302924296247 -1.202075170958629
0.056834571713157 0.305387322252147 0.790354875311486 0.847302924296247 1.202075170958629
0.056834571713157 0.790354875311486 -0.305387322252147 0.847302924296247 -0.368721155836267
0.056834571713157 0.790354875311486 0.305387322252147 0.847302924296247 0.368721155836267
0.024268628331346 -0.849372904096328 -0.462700565982938 0.967226004599732 -2.642784840531044
0.024268628331346 -0.849372904096328 0.462700565982938 0.967226004599732 2.642784840531044
0.024268628331346 -0.462700565982938 -0.849372904096328 0.967226004599732 -2.069604139853646
0.024268628331346 -0.462700565982938 0.849372904096328 0.967226004599732 2.069604139853646
0.024268628331346 0.462700565982938 -0.849372904096328 0.967226004599732 -1.071988513736147
0.024268628331346 0.462700565982938 0.849372904096328 0.967226004599732 1.071988513736147
0.024268628331346 0.849372904096328 -0.462700565982938 0.967226004599732 -0.498807813058749
0.024268628331346 0.849372904096328 0.462700565982938 0.967226004599732 0.498807813058749
